Major categories, Medium category, Subcategory, Manufacturer, Product name, Model, Model number, URL, minimum wavelength, maximum wavelength, average power, Maximum output, Time span, Pulse Width, Repetition frequency, Repetition rate, processing, communication, Spectroscopy and Measurement, Imaging, Demo machine rental
 Fiber lasers and other light sources, broadband white laser light source,, NKT Photonics A/S," Broadband white laser light source, top model ""SuperK FIANIUM""", SuperK FIANIUM, FIU-6,https://www.sevensix.co.jp/products/superkfianium_nktp/, 400nm, 2400nm,, 2.2W, Pulse,, 78MHz,,,,,,
 Fiber lasers and other light sources, broadband white laser light source,, NKT Photonics A/S," Broadband white laser light source, top model ""SuperK FIANIUM""", SuperK FIANIUM, FIU-15,https://www.sevensix.co.jp/products/superkfianium_nktp/, 400nm, 2400nm,, 5.5W, Pulse,, 78MHz,,,,,,
 Fiber lasers and other light sources, broadband white laser light source,, NKT Photonics A/S," Broadband white laser light source, top model ""SuperK FIANIUM""", SuperK FIANIUM, FIR-20,https://www.sevensix.co.jp/products/superkfianium_nktp/, 400nm, 2400nm,, 6.5W, Pulse,, 78MHz,,,,,,
,,, NKT Photonics A/S,"The top-of-the-line broadband white laser light source for OCT, ""SuerK FIANIUM OCT""", SuperK FIANIUM OCT, FIU-6 OCT,https://www.sevensix.co.jp/products/octsc_nktp/, 400nm, 2400nm, 600mW, 6.5W, Pulse,, 312 ± 3MHz,,,,,,
 Fiber lasers and other light sources, broadband white laser light source,, NKT Photonics A/S,"The top-of-the-line broadband white laser light source for OCT, ""SuerK FIANIUM OCT""", SuperK FIANIUM OCT, FIR-9 OCT,https://www.sevensix.co.jp/products/octsc_nktp/, 400nm, 2400nm, 900mW, 6.5W, Pulse,, 312 ± 3MHz,,,,,, can be
 Fiber lasers and other light sources, broadband white laser light source,, NKT Photonics A/S," Industrial broadband white laser light source ""SuperK EVO""", SuperK EVO, ERL-04, https://www.sevensix.co.jp/products/superk-evo/, 510nm, 2000nm,, 1W, Pulse,, 20MHz,,,,,,
 Fiber lasers and other light sources, broadband white laser light source,, NKT Photonics A/S," Industrial broadband white laser light source ""SuperK EVO""", SuperK EVO, EUL-10, https://www.sevensix.co.jp/products/superk-evo/, 425nm, 2400nm,, 0.3W, Pulse,, 30MHz,,,,,,
 Fiber lasers and other light sources, broadband white laser light source,, NKT Photonics A/S," Industrial broadband white laser light source ""SuperK EVO""", SuperK EVO HP, EU-4, https://www.sevensix.co.jp/products/superk-evo/, 415nm, 2250nm,, 2W, Pulse,, 20MHz,,,,,,
 Fiber lasers and other light sources, broadband white laser light source,, NKT Photonics A/S," Broadband white laser light source entry model ""SuperK COMPACT""", SuperK COMPACT,, https://www.sevensix.co.jp/products/superk-compact/, 450nm, 2400nm, 20mW, 110mW, Pulse,,1-20kHz,,,,,, can be
 Fiber lasers and other light sources, broadband white laser light source,, NKT Photonics A/S, High-performance wavelength selection filter for white laser light source, SuperK SPLIT,, https://www.sevensix.co.jp/products/scfilter_nktp/, 400nm, 2000nm,,, Pulse,,,,,,,, can be
 Fiber lasers and other light sources, broadband white laser light source,, NKT Photonics A/S, High-performance wavelength selection filter for white laser light source, SuperK SELECT,, https://www.sevensix.co.jp/products/scfilter_nktp/, 400nm, 2000nm,,, Pulse,,,,,,,, can be
 Fiber lasers and other light sources, broadband white laser light source,, NKT Photonics A/S, High-performance wavelength selection filter for white laser light source, LLTF, VIS, https://www.sevensix.co.jp/products/scfilter_nktp/, 400nm, 100nm,,, Pulse,,,,,,,, can be
